M;0004;011;01;232;1.66;0.00;2.03;0.00;0.59;0.00;29.60;29.90;26.40;20.99;-9999.00;66.82;1399;;;;;;34.80;32.50;22.78;23.94;0.00;35.00;25.50;80.00;28.02;-1000.00;-39.002;-56.941;32;3505.92;75.09;5
M;0004;012;01;233;1.62;0.00;1.97;0.00;-0.38;0.00;29.60;29.90;26.50;20.99;-9999.00;66.90;1400;;;;;;34.80;32.50;22.78;23.94;0.00;35.00;25.50;80.00;28.02;-1000.00;-52.000;-56.949;32;3523.70;75.11;5
M;0004;013;01;234;1.93;0.00;2.35;0.00;-0.65;0.00;29.60;29.90;26.50;20.99;-9999.00;66.96;1400;;;;;;34.80;32.50;22.81;23.94;0.00;35.00;25.50;80.00;28.03;-1000.00;-65.007;-56.941;32;3470.91;75.12;5
M;0004;014;01;236;1.68;0.00;2.04;0.00;-1.06;0.00;29.60;29.80;26.50;20.99;-9999.00;67.04;1400;;;;;;34.80;32.60;22.81;23.94;0.00;35.50;26.00;80.00;28.03;-1000.00;-77.997;-56.933;32;3528.14;75.13;5
M;0004;015;01;237;1.93;0.00;2.35;0.00;-1.06;0.00;29.60;29.80;26.50;20.98;-9999.00;67.10;1400;;;;;;34.80;32.50;22.81;23.94;0.00;36.00;26.00;80.00;28.05;-1000.00;-90.995;-56.941;32;3551.39;75.13;5
M;0004;016;01;238;1.82;0.00;2.21;0.00;-0.94;0.00;29.60;29.80;26.60;20.98;-9999.00;67.16;1400;;;;;;34.90;32.50;22.81;23.94;0.00;36.50;26.00;80.00;28.06;-1000.00;-104.009;-56.973;32;3543.10;75.08;5
P;0004;;;238;;;;;;;29.60;29.80;26.60;20.98;-9999.00;67.16;1400;;;;;;34.90;32.50;22.81;23.94;0.00;36.50;26.00;80.00;28.06;-1000.00;-104.009;-56.973;32;;;;1.957;0.814;0.803;0.829;0.812
P;0005;;;247;;;;;;;29.60;29.90;26.70;20.98;-9999.00;67.54;1399;;;;;;34.90;32.60;22.81;23.94;0.00;37.50;25.50;80.00;28.10;-1000.00;-125.993;-69.446;32;;;;1.958;0.813;0.803;0.829;0.812
P;0005;;;247;;;;;;;29.60;29.90;26.70;20.98;-9999.00;67.60;1399;;;;;;34.90;32.60;22.81;23.94;0.00;37.50;25.50;80.00;28.11;-1000.00;-125.993;-69.446;0;;;;1.958;0.813;0.803;0.829;0.812
R;0005;;01;278;103.73;0.00;;;;;29.70;30.00;27.20;20.97;-9999.00;69.71;1399;3494.13;;;;;35.30;33.00;22.81;24.00;0.00;37.00;20.50;80.00;28.27;-1000.00;-125.993;-69.446;30;3494.13;75.10;5
